bet_id,match_id,strategy,bookmaker,market,selection,captured_odds,closing_odds,stake,placed_ts,settled_ts,result,payout,pnl,clv,league
B000034,M00022,Aggressive_Momentum,Betano,MONEYLINE_HOME,HOME,2.7,2.66,116.22,2025-01-06 04:00:00,2025-01-07 00:00:00,loss,0.0,-116.22,0.015,La Liga
B000051,M00032,Aggressive_Momentum,1xBet,BTTS_YES,YES,1.15,1.2,119.72,2025-01-06 05:00:00,2025-01-09 22:00:00,loss,0.0,-119.72,-0.0417,La Liga
B000038,M00025,League_Specialist,Betano,DNB_HOME,HOME,1.19,1.14,81.71,2025-01-06 06:00:00,2025-01-07 17:00:00,win,97.23,15.52,0.0439,Premier League
B000040,M00026,Aggressive_Momentum,1xBet,OVER_2_5,YES,1.89,1.92,197.8,2025-01-06 08:00:00,2025-01-07 20:00:00,loss,0.0,-197.8,-0.0156,Premier League
B000048,M00031,Aggressive_Momentum,Bet365,DNB_HOME,HOME,1.18,1.24,98.89,2025-01-06 12:00:00,2025-01-09 00:00:00,win,116.69,17.8,-0.0484,Premier League
B000044,M00029,League_Specialist,1xBet,MONEYLINE_HOME,HOME,1.16,1.17,112.45,2025-01-06 18:00:00,2025-01-09 01:00:00,win,130.44,17.99,-0.0085,Premier League
B000050,M00032,League_Specialist,Pinnacle,MONEYLINE_HOME,HOME,1.65,1.71,123.4,2025-01-06 23:00:00,2025-01-09 22:00:00,loss,0.0,-123.4,-0.0351,La Liga
B000045,M00030,Quant_Value,Pinnacle,BTTS_YES,YES,1.15,1.14,58.06,2025-01-07 02:00:00,2025-01-09 01:00:00,loss,0.0,-58.06,0.0088,La Liga
B000054,M00035,Aggressive_Momentum,Bet365,OVER_2_5,YES,1.75,1.79,115.59,2025-01-07 03:00:00,2025-01-09 23:00:00,loss,0.0,-115.59,-0.0223,Serie A
B000055,M00036,Quant_Value,Betano,MONEYLINE_HOME,HOME,8.13,7.85,84.44,2025-01-07 09:00:00,2025-01-11 00:00:00,loss,0.0,-84.44,0.0357,Serie A
B000047,M00031,Quant_Value,Stake,OVER_2_5,YES,1.86,1.8,80.34,2025-01-07 10:00:00,2025-01-09 00:00:00,win,149.43,69.09,0.0333,Premier League
B000042,M00028,League_Specialist,Betano,MONEYLINE_HOME,HOME,1.82,1.75,44.21,2025-01-07 10:00:00,2025-01-09 00:00:00,win,80.46,36.25,0.04,Brasileirao
B000046,M00030,Aggressive_Momentum,Pinnacle,MONEYLINE_HOME,HOME,3.36,3.28,46.2,2025-01-07 15:00:00,2025-01-09 01:00:00,loss,0.0,-46.2,0.0244,La Liga
B000056,M00037,Quant_Value,Bet365,DNB_HOME,HOME,2.03,1.9,55.13,2025-01-08 16:00:00,2025-01-10 20:00:00,loss,0.0,-55.13,0.0684,Brasileirao
B000057,M00037,League_Specialist,Bet365,MONEYLINE_HOME,HOME,2.54,2.43,81.91,2025-01-08 20:00:00,2025-01-10 20:00:00,loss,0.0,-81.91,0.0453,Brasileirao
B000062,M00042,League_Specialist,Stake,OVER_2_5,YES,1.99,1.94,85.31,2025-01-08 20:00:00,2025-01-11 20:00:00,loss,0.0,-85.31,0.0258,La Liga
B000061,M00042,Quant_Value,Stake,OVER_2_5,YES,1.98,1.93,88.81,2025-01-08 23:00:00,2025-01-11 20:00:00,loss,0.0,-88.81,0.0259,La Liga
B000053,M00034,Aggressive_Momentum,Stake,OVER_2_5,YES,1.78,1.78,80.17,2025-01-09 08:00:00,2025-01-09 20:00:00,loss,0.0,-80.17,0.0,La Liga
B000052,M00033,Aggressive_Momentum,Bet365,MONEYLINE_HOME,HOME,1.27,1.3,158.44,2025-01-09 12:00:00,2025-01-09 23:00:00,loss,0.0,-158.44,-0.0231,Brasileirao
B000064,M00045,League_Specialist,Stake,BTTS_YES,YES,1.53,1.46,96.38,2025-01-10 01:00:00,2025-01-13 00:00:00,loss,0.0,-96.38,0.0479,Brasileirao
