bet_id,method,placed_ts,bankroll_before,planned_stake,executed_stake,pnl,result,skip_reason,bankroll_after,league,market,strategy,equity_peak,drawdown
B000025,fixed,2024-08-22 22:00:00,9496.0,100.0,100.0,26.0,win,,9522.0,La Liga,DNB_HOME,Quant_Value,10120.0,-0.05909090909090908
B000041,fixed,2024-08-22 23:15:00,9522.0,100.0,100.0,-100.0,loss,,9422.0,La Liga,OVER_2_5,Aggressive_Momentum,10120.0,-0.06897233201581032
B000034,fixed,2024-08-23 15:00:00,9422.0,100.0,100.0,33.0,win,,9455.0,Premier League,BTTS_YES,Quant_Value,10120.0,-0.0657114624505929
B000042,fixed,2024-08-23 23:30:00,9455.0,100.0,100.0,97.0,win,,9552.0,La Liga,OVER_2_5,Quant_Value,10120.0,-0.056126482213438744
B000035,fixed,2024-08-24 02:00:00,9552.0,100.0,100.0,31.0,win,,9583.0,Premier League,BTTS_YES,League_Specialist,10120.0,-0.05306324110671934
B000029,fixed,2024-08-24 02:30:00,9583.0,100.0,100.0,21.0,win,,9604.0,Premier League,BTTS_YES,Quant_Value,10120.0,-0.05098814229249016
B000045,fixed,2024-08-24 02:45:00,9604.0,100.0,100.0,-100.0,loss,,9504.0,Serie A,DNB_HOME,Quant_Value,10120.0,-0.060869565217391286
B000036,fixed,2024-08-24 03:30:00,9504.0,100.0,100.0,-100.0,loss,,9404.0,Bundesliga,OVER_2_5,League_Specialist,10120.0,-0.07075098814229253
B000050,fixed,2024-08-24 20:00:00,9404.0,100.0,100.0,54.0,win,,9458.0,La Liga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.0654150197628458
B000037,fixed,2024-08-25 03:00:00,9458.0,100.0,100.0,18.0,win,,9476.0,La Liga,MONEYLINE_HOME,League_Specialist,10120.0,-0.0636363636363636
B000044,fixed,2024-08-26 09:30:00,9476.0,100.0,100.0,0.0,push,,9476.0,Serie A,DNB_HOME,Aggressive_Momentum,10120.0,-0.0636363636363636
B000046,fixed,2024-08-26 09:30:00,9476.0,100.0,100.0,29.0,win,,9505.0,La Liga,DNB_HOME,Quant_Value,10120.0,-0.06077075098814233
B000054,fixed,2024-08-26 10:30:00,9505.0,100.0,100.0,-100.0,loss,,9405.0,La Liga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.07065217391304346
B000055,fixed,2024-08-26 12:30:00,9405.0,100.0,100.0,-100.0,loss,,9305.0,La Liga,OVER_2_5,League_Specialist,10120.0,-0.0805335968379447
B000056,fixed,2024-08-26 13:30:00,9305.0,100.0,100.0,-100.0,loss,,9205.0,La Liga,BTTS_YES,Aggressive_Momentum,10120.0,-0.09041501976284583
B000048,fixed,2024-08-26 19:00:00,9205.0,100.0,100.0,-100.0,loss,,9105.0,La Liga,BTTS_YES,Aggressive_Momentum,10120.0,-0.10029644268774707
B000060,fixed,2024-08-26 23:30:00,9105.0,100.0,100.0,83.0,win,,9188.0,Bundesliga,MONEYLINE_HOME,League_Specialist,10120.0,-0.09209486166007907
B000053,fixed,2024-08-27 00:30:00,9188.0,100.0,100.0,-100.0,loss,,9088.0,La Liga,MONEYLINE_HOME,League_Specialist,10120.0,-0.1019762845849802
B000047,fixed,2024-08-27 01:00:00,9088.0,100.0,100.0,-100.0,loss,,8988.0,La Liga,MONEYLINE_HOME,Quant_Value,10120.0,-0.11185770750988144
B000052,fixed,2024-08-27 02:30:00,8988.0,100.0,100.0,106.0,win,,9094.0,La Liga,OVER_2_5,Quant_Value,10120.0,-0.10138339920948614
B000059,fixed,2024-08-27 08:30:00,9094.0,100.0,100.0,-100.0,loss,,8994.0,Bundesliga,BTTS_YES,Quant_Value,10120.0,-0.11126482213438738
B000051,fixed,2024-08-27 09:00:00,8994.0,100.0,100.0,0.0,push,,8994.0,La Liga,DNB_HOME,League_Specialist,10120.0,-0.11126482213438738
B000063,fixed,2024-08-27 23:30:00,8994.0,100.0,100.0,-100.0,loss,,8894.0,Bundesliga,MONEYLINE_HOME,League_Specialist,10120.0,-0.1211462450592885
B000064,fixed,2024-08-28 05:30:00,8894.0,100.0,100.0,-100.0,loss,,8794.0,Bundesliga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.13102766798418974
B000049,fixed,2024-08-28 09:00:00,8794.0,100.0,100.0,-100.0,loss,,8694.0,La Liga,OVER_2_5,League_Specialist,10120.0,-0.14090909090909087
B000057,fixed,2024-08-28 15:30:00,8694.0,100.0,100.0,-100.0,loss,,8594.0,Serie A,DNB_HOME,League_Specialist,10120.0,-0.1507905138339921
B000070,fixed,2024-08-28 19:30:00,8594.0,100.0,100.0,5.0,win,,8599.0,La Liga,BTTS_YES,Aggressive_Momentum,10120.0,-0.150296442687747
B000079,fixed,2024-08-28 23:45:00,8599.0,100.0,100.0,-100.0,loss,,8499.0,Serie A,OVER_2_5,Aggressive_Momentum,10120.0,-0.16017786561264824
B000074,fixed,2024-08-29 03:30:00,8499.0,100.0,100.0,65.0,win,,8564.0,Serie A,OVER_2_5,Aggressive_Momentum,10120.0,-0.15375494071146245
B000058,fixed,2024-08-29 05:30:00,8564.0,100.0,100.0,-100.0,loss,,8464.0,Serie A,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.1636363636363637
B000080,fixed,2024-08-29 05:30:00,8464.0,100.0,100.0,20.0,win,,8484.0,La Liga,MONEYLINE_HOME,League_Specialist,10120.0,-0.16166007905138335
B000065,fixed,2024-08-29 09:00:00,8484.0,100.0,100.0,-100.0,loss,,8384.0,Premier League,MONEYLINE_HOME,League_Specialist,10120.0,-0.1715415019762846
B000061,fixed,2024-08-29 09:30:00,8384.0,100.0,100.0,-100.0,loss,,8284.0,Bundesliga,MONEYLINE_HOME,Quant_Value,10120.0,-0.18142292490118572
B000066,fixed,2024-08-29 11:00:00,8284.0,100.0,100.0,60.0,win,,8344.0,La Liga,OVER_2_5,Aggressive_Momentum,10120.0,-0.17549407114624505
B000062,fixed,2024-08-29 21:30:00,8344.0,100.0,100.0,-100.0,loss,,8244.0,Bundesliga,OVER_2_5,Aggressive_Momentum,10120.0,-0.18537549407114629
B000069,fixed,2024-08-29 23:30:00,8244.0,100.0,100.0,15.0,win,,8259.0,La Liga,BTTS_YES,Quant_Value,10120.0,-0.18389328063241106
B000073,fixed,2024-08-30 04:30:00,8259.0,100.0,100.0,-100.0,loss,,8159.0,Serie A,MONEYLINE_HOME,Quant_Value,10120.0,-0.1937747035573123
B000067,fixed,2024-08-30 18:30:00,8159.0,100.0,100.0,-100.0,loss,,8059.0,Bundesliga,MONEYLINE_HOME,League_Specialist,10120.0,-0.20365612648221343
B000076,fixed,2024-08-31 05:30:00,8059.0,100.0,100.0,-100.0,loss,,7959.0,Serie A,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.21353754940711467
B000075,fixed,2024-08-31 09:30:00,7959.0,100.0,100.0,-100.0,loss,,7859.0,Serie A,DNB_HOME,Quant_Value,10120.0,-0.2234189723320158
B000068,fixed,2024-08-31 11:30:00,7859.0,100.0,100.0,80.0,win,,7939.0,Bundesliga,OVER_2_5,Aggressive_Momentum,10120.0,-0.2155138339920949
B000077,fixed,2024-09-01 00:15:00,7939.0,100.0,100.0,-100.0,loss,,7839.0,La Liga,MONEYLINE_HOME,Quant_Value,10120.0,-0.22539525691699602
B000071,fixed,2024-09-01 00:30:00,7839.0,100.0,100.0,36.0,win,,7875.0,Premier League,BTTS_YES,Aggressive_Momentum,10120.0,-0.22183794466403162
B000072,fixed,2024-09-01 06:00:00,7875.0,100.0,100.0,-100.0,loss,,7775.0,Premier League,MONEYLINE_HOME,League_Specialist,10120.0,-0.23171936758893286
B000078,fixed,2024-09-01 07:45:00,7775.0,100.0,100.0,77.0,win,,7852.0,Serie A,MONEYLINE_HOME,Quant_Value,10120.0,-0.22411067193675893
B000096,fixed,2024-09-10 16:15:00,7852.0,100.0,100.0,94.0,win,,7946.0,La Liga,OVER_2_5,Aggressive_Momentum,10120.0,-0.21482213438735176
B000083,fixed,2024-09-10 18:30:00,7946.0,100.0,100.0,-100.0,loss,,7846.0,Bundesliga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.224703557312253
B000086,fixed,2024-09-11 03:30:00,7846.0,100.0,100.0,-100.0,loss,,7746.0,Bundesliga,MONEYLINE_HOME,Quant_Value,10120.0,-0.23458498023715413
B000097,fixed,2024-09-11 06:45:00,7746.0,100.0,100.0,5.0,win,,7751.0,Serie A,DNB_HOME,League_Specialist,10120.0,-0.23409090909090913
B000087,fixed,2024-09-11 10:30:00,7751.0,100.0,100.0,-100.0,loss,,7651.0,Bundesliga,MONEYLINE_HOME,League_Specialist,10120.0,-0.24397233201581026
B000089,fixed,2024-09-11 16:30:00,7651.0,100.0,100.0,86.0,win,,7737.0,Bundesliga,OVER_2_5,Quant_Value,10120.0,-0.23547430830039529
B000088,fixed,2024-09-11 19:30:00,7737.0,100.0,100.0,89.0,win,,7826.0,Bundesliga,OVER_2_5,Aggressive_Momentum,10120.0,-0.22667984189723323
B000109,fixed,2024-09-11 20:30:00,7826.0,100.0,100.0,76.0,win,,7902.0,Bundesliga,OVER_2_5,Quant_Value,10120.0,-0.21916996047430826
B000091,fixed,2024-09-12 02:00:00,7902.0,100.0,100.0,0.0,push,,7902.0,Premier League,DNB_HOME,Quant_Value,10120.0,-0.21916996047430826
B000093,fixed,2024-09-12 03:00:00,7902.0,100.0,100.0,27.0,win,,7929.0,Premier League,BTTS_YES,Quant_Value,10120.0,-0.216501976284585
B000103,fixed,2024-09-12 03:30:00,7929.0,100.0,100.0,49.0,win,,7978.0,Bundesliga,DNB_HOME,League_Specialist,10120.0,-0.2116600790513834
B000095,fixed,2024-09-12 04:15:00,7978.0,100.0,100.0,82.0,win,,8060.0,La Liga,DNB_HOME,League_Specialist,10120.0,-0.20355731225296447
B000081,fixed,2024-09-12 08:30:00,8060.0,100.0,100.0,51.0,win,,8111.0,Bundesliga,MONEYLINE_HOME,Quant_Value,10120.0,-0.19851778656126484
B000084,fixed,2024-09-12 10:30:00,8111.0,100.0,100.0,105.0,win,,8216.0,Bundesliga,OVER_2_5,Quant_Value,10120.0,-0.1881422924901186
B000102,fixed,2024-09-12 14:30:00,8216.0,100.0,100.0,96.0,win,,8312.0,Bundesliga,OVER_2_5,Quant_Value,10120.0,-0.1786561264822134
B000110,fixed,2024-09-12 14:30:00,8312.0,100.0,100.0,-100.0,loss,,8212.0,Bundesliga,MONEYLINE_HOME,League_Specialist,10120.0,-0.18853754940711465
B000092,fixed,2024-09-12 17:00:00,8212.0,100.0,100.0,0.0,push,,8212.0,Premier League,DNB_HOME,League_Specialist,10120.0,-0.18853754940711465
B000094,fixed,2024-09-13 02:00:00,8212.0,100.0,100.0,-100.0,loss,,8112.0,Premier League,MONEYLINE_HOME,League_Specialist,10120.0,-0.19841897233201577
B000105,fixed,2024-09-13 05:15:00,8112.0,100.0,100.0,117.0,win,,8229.0,La Liga,OVER_2_5,League_Specialist,10120.0,-0.1868577075098814
B000100,fixed,2024-09-13 10:00:00,8229.0,100.0,100.0,-100.0,loss,,8129.0,Serie A,BTTS_YES,Quant_Value,10120.0,-0.19673913043478264
B000098,fixed,2024-09-13 11:45:00,8129.0,100.0,100.0,60.0,win,,8189.0,Serie A,OVER_2_5,Aggressive_Momentum,10120.0,-0.19081027667984185
B000085,fixed,2024-09-13 14:30:00,8189.0,100.0,100.0,11.0,win,,8200.0,Bundesliga,BTTS_YES,Aggressive_Momentum,10120.0,-0.18972332015810278
B000099,fixed,2024-09-13 16:00:00,8200.0,100.0,100.0,-100.0,loss,,8100.0,Premier League,DNB_HOME,League_Specialist,10120.0,-0.1996047430830039
B000082,fixed,2024-09-13 23:30:00,8100.0,100.0,100.0,-100.0,loss,,8000.0,Bundesliga,OVER_2_5,League_Specialist,10120.0,-0.20948616600790515
B000106,fixed,2024-09-13 23:30:00,8000.0,100.0,100.0,-100.0,loss,,7900.0,Premier League,MONEYLINE_HOME,Quant_Value,10120.0,-0.21936758893280628
B000104,fixed,2024-09-14 00:15:00,7900.0,100.0,100.0,-100.0,loss,,7800.0,La Liga,DNB_HOME,Quant_Value,10120.0,-0.22924901185770752
B000113,fixed,2024-09-14 02:00:00,7800.0,100.0,100.0,71.0,win,,7871.0,La Liga,OVER_2_5,Aggressive_Momentum,10120.0,-0.22223320158102766
B000090,fixed,2024-09-14 06:30:00,7871.0,100.0,100.0,20.0,win,,7891.0,Bundesliga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.22025691699604744
B000111,fixed,2024-09-14 08:30:00,7891.0,100.0,100.0,-100.0,loss,,7791.0,La Liga,MONEYLINE_HOME,League_Specialist,10120.0,-0.23013833992094856
B000107,fixed,2024-09-14 13:30:00,7791.0,100.0,100.0,-100.0,loss,,7691.0,Premier League,DNB_HOME,League_Specialist,10120.0,-0.2400197628458498
B000101,fixed,2024-09-14 16:00:00,7691.0,100.0,100.0,25.0,win,,7716.0,Serie A,DNB_HOME,Quant_Value,10120.0,-0.23754940711462447
B000108,fixed,2024-09-14 18:30:00,7716.0,100.0,100.0,-100.0,loss,,7616.0,Premier League,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.2474308300395257
B000117,fixed,2024-09-14 23:00:00,7616.0,100.0,100.0,95.0,win,,7711.0,La Liga,MONEYLINE_HOME,League_Specialist,10120.0,-0.23804347826086958
B000112,fixed,2024-09-15 00:00:00,7711.0,100.0,100.0,35.0,win,,7746.0,La Liga,MONEYLINE_HOME,League_Specialist,10120.0,-0.23458498023715413
B000115,fixed,2024-09-15 13:30:00,7746.0,100.0,100.0,89.0,win,,7835.0,Serie A,OVER_2_5,Aggressive_Momentum,10120.0,-0.22579051383399207
B000116,fixed,2024-09-15 23:45:00,7835.0,100.0,100.0,22.0,win,,7857.0,Serie A,MONEYLINE_HOME,League_Specialist,10120.0,-0.22361660079051382
B000114,fixed,2024-09-16 02:30:00,7857.0,100.0,100.0,-100.0,loss,,7757.0,Serie A,DNB_HOME,League_Specialist,10120.0,-0.23349802371541506
B000119,fixed,2024-09-18 05:30:00,7757.0,100.0,100.0,-100.0,loss,,7657.0,Premier League,DNB_HOME,Aggressive_Momentum,10120.0,-0.2433794466403162
B000120,fixed,2024-09-18 09:00:00,7657.0,100.0,100.0,-100.0,loss,,7557.0,Serie A,OVER_2_5,Aggressive_Momentum,10120.0,-0.25326086956521743
B000131,fixed,2024-09-18 10:00:00,7557.0,100.0,100.0,7.0,win,,7564.0,La Liga,DNB_HOME,Aggressive_Momentum,10120.0,-0.2525691699604743
B000132,fixed,2024-09-18 19:30:00,7564.0,100.0,100.0,53.0,win,,7617.0,Serie A,MONEYLINE_HOME,League_Specialist,10120.0,-0.24733201581027664
B000124,fixed,2024-09-18 20:00:00,7617.0,100.0,100.0,-100.0,loss,,7517.0,Premier League,MONEYLINE_HOME,Quant_Value,10120.0,-0.2572134387351779
B000129,fixed,2024-09-18 22:45:00,7517.0,100.0,100.0,84.0,win,,7601.0,Serie A,OVER_2_5,Quant_Value,10120.0,-0.24891304347826082
B000139,fixed,2024-09-18 23:00:00,7601.0,100.0,100.0,18.0,win,,7619.0,La Liga,BTTS_YES,League_Specialist,10120.0,-0.24713438735177862
B000134,fixed,2024-09-19 03:00:00,7619.0,100.0,100.0,27.0,win,,7646.0,Premier League,BTTS_YES,Aggressive_Momentum,10120.0,-0.24446640316205537
B000118,fixed,2024-09-19 10:00:00,7646.0,100.0,100.0,-100.0,loss,,7546.0,La Liga,MONEYLINE_HOME,Quant_Value,10120.0,-0.2543478260869565
B000122,fixed,2024-09-19 15:30:00,7546.0,100.0,100.0,-100.0,loss,,7446.0,Bundesliga,MONEYLINE_HOME,League_Specialist,10120.0,-0.26422924901185774
B000121,fixed,2024-09-19 17:30:00,7446.0,100.0,100.0,0.0,push,,7446.0,Bundesliga,DNB_HOME,Quant_Value,10120.0,-0.26422924901185774
B000126,fixed,2024-09-19 20:00:00,7446.0,100.0,100.0,-100.0,loss,,7346.0,Serie A,MONEYLINE_HOME,Quant_Value,10120.0,-0.27411067193675887
B000125,fixed,2024-09-20 01:00:00,7346.0,100.0,100.0,13.0,win,,7359.0,Premier League,DNB_HOME,Quant_Value,10120.0,-0.2728260869565218
B000130,fixed,2024-09-20 02:45:00,7359.0,100.0,100.0,0.0,push,,7359.0,Serie A,DNB_HOME,Aggressive_Momentum,10120.0,-0.2728260869565218
B000123,fixed,2024-09-20 04:30:00,7359.0,100.0,100.0,0.0,push,,7359.0,Bundesliga,DNB_HOME,Aggressive_Momentum,10120.0,-0.2728260869565218
B000136,fixed,2024-09-20 05:30:00,7359.0,100.0,100.0,-100.0,loss,,7259.0,Bundesliga,OVER_2_5,Quant_Value,10120.0,-0.2827075098814229
B000138,fixed,2024-09-20 12:45:00,7259.0,100.0,100.0,89.0,win,,7348.0,Serie A,OVER_2_5,Quant_Value,10120.0,-0.27391304347826084
B000141,fixed,2024-09-20 14:00:00,7348.0,100.0,100.0,18.0,win,,7366.0,La Liga,BTTS_YES,League_Specialist,10120.0,-0.27213438735177864
B000127,fixed,2024-09-20 18:30:00,7366.0,100.0,100.0,47.0,win,,7413.0,Bundesliga,MONEYLINE_HOME,Quant_Value,10120.0,-0.26749011857707505
B000128,fixed,2024-09-20 23:30:00,7413.0,100.0,100.0,51.0,win,,7464.0,Bundesliga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.26245059288537553
B000133,fixed,2024-09-21 06:00:00,7464.0,100.0,100.0,34.0,win,,7498.0,Premier League,BTTS_YES,League_Specialist,10120.0,-0.25909090909090904
B000140,fixed,2024-09-21 07:00:00,7498.0,100.0,100.0,5.0,win,,7503.0,La Liga,BTTS_YES,Aggressive_Momentum,10120.0,-0.25859683794466404
B000143,fixed,2024-09-21 11:45:00,7503.0,100.0,100.0,77.0,win,,7580.0,Serie A,OVER_2_5,Quant_Value,10120.0,-0.2509881422924901
B000137,fixed,2024-09-21 12:30:00,7580.0,100.0,100.0,0.0,push,,7580.0,Bundesliga,DNB_HOME,League_Specialist,10120.0,-0.2509881422924901
B000135,fixed,2024-09-22 01:30:00,7580.0,100.0,100.0,19.0,win,,7599.0,La Liga,BTTS_YES,Aggressive_Momentum,10120.0,-0.24911067193675884
B000142,fixed,2024-09-22 12:00:00,7599.0,100.0,100.0,-100.0,loss,,7499.0,La Liga,MONEYLINE_HOME,Quant_Value,10120.0,-0.2589920948616601
B000144,fixed,2024-09-22 20:00:00,7499.0,100.0,100.0,23.0,win,,7522.0,La Liga,MONEYLINE_HOME,League_Specialist,10120.0,-0.25671936758893277
B000147,fixed,2024-09-22 21:00:00,7522.0,100.0,100.0,0.0,push,,7522.0,La Liga,DNB_HOME,Aggressive_Momentum,10120.0,-0.25671936758893277
B000145,fixed,2024-09-23 17:00:00,7522.0,100.0,100.0,-100.0,loss,,7422.0,La Liga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.266600790513834
B000155,fixed,2024-09-24 22:00:00,7422.0,100.0,100.0,-100.0,loss,,7322.0,Premier League,DNB_HOME,Quant_Value,10120.0,-0.27648221343873514
B000146,fixed,2024-09-25 01:00:00,7322.0,100.0,100.0,15.0,win,,7337.0,La Liga,BTTS_YES,Quant_Value,10120.0,-0.275
B000149,fixed,2024-09-25 08:00:00,7337.0,100.0,100.0,-100.0,loss,,7237.0,La Liga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.28488142292490115
B000148,fixed,2024-09-25 12:00:00,7237.0,100.0,100.0,28.0,win,,7265.0,La Liga,BTTS_YES,League_Specialist,10120.0,-0.28211462450592883
B000156,fixed,2024-09-25 14:00:00,7265.0,100.0,100.0,-100.0,loss,,7165.0,Premier League,BTTS_YES,Aggressive_Momentum,10120.0,-0.2919960474308301
B000173,fixed,2024-09-25 20:00:00,7165.0,100.0,100.0,-100.0,loss,,7065.0,Serie A,BTTS_YES,Aggressive_Momentum,10120.0,-0.3018774703557312
B000168,fixed,2024-09-26 01:00:00,7065.0,100.0,100.0,87.0,win,,7152.0,Premier League,OVER_2_5,Quant_Value,10120.0,-0.29328063241106717
B000170,fixed,2024-09-26 04:30:00,7152.0,100.0,100.0,-100.0,loss,,7052.0,Bundesliga,MONEYLINE_HOME,Quant_Value,10120.0,-0.3031620553359684
B000152,fixed,2024-09-26 05:00:00,7052.0,100.0,100.0,44.0,win,,7096.0,Premier League,MONEYLINE_HOME,Quant_Value,10120.0,-0.2988142292490119
B000167,fixed,2024-09-26 08:30:00,7096.0,100.0,100.0,-100.0,loss,,6996.0,Serie A,MONEYLINE_HOME,Quant_Value,10120.0,-0.30869565217391304
B000150,fixed,2024-09-26 09:00:00,6996.0,100.0,100.0,77.0,win,,7073.0,La Liga,MONEYLINE_HOME,Quant_Value,10120.0,-0.3010869565217391
B000163,fixed,2024-09-26 09:30:00,7073.0,100.0,100.0,-100.0,loss,,6973.0,Bundesliga,MONEYLINE_HOME,Quant_Value,10120.0,-0.31096837944664035
B000165,fixed,2024-09-26 11:45:00,6973.0,100.0,100.0,17.0,win,,6990.0,Serie A,BTTS_YES,Aggressive_Momentum,10120.0,-0.3092885375494071
B000158,fixed,2024-09-26 13:00:00,6990.0,100.0,100.0,35.0,win,,7025.0,Premier League,DNB_HOME,League_Specialist,10120.0,-0.30583003952569165
B000153,fixed,2024-09-26 19:00:00,7025.0,100.0,100.0,46.0,win,,7071.0,Premier League,MONEYLINE_HOME,League_Specialist,10120.0,-0.30128458498023714
B000161,fixed,2024-09-26 19:00:00,7071.0,100.0,100.0,-100.0,loss,,6971.0,Serie A,MONEYLINE_HOME,Quant_Value,10120.0,-0.3111660079051384
B000160,fixed,2024-09-26 19:15:00,6971.0,100.0,100.0,-100.0,loss,,6871.0,La Liga,OVER_2_5,Aggressive_Momentum,10120.0,-0.3210474308300395
